constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Brentwood and Ongar,7817.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553430019,458,461,479,372,496,257,173,454,2692,7.898411092811599,2.459175021314934,0.23706088898289918,0.27238551964479807,0.210235412454405,26552,0.10111394,490000,2.0030152475586775,0.3819959450372868
Brighton Pavilion,174786.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260864501,330,346,366,421,298,280,241,113,2065,7.633369649679584,0.9351372184062134,-0.9160351996684579,0.345022613478989,0.115236739397813,42349,0.19881119800000002,435000,1.9269143912954219,0.45727632330609347
Bristol East,5000.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.318777372,96,119,123,79,126,38,158,199,842,6.736966958001855,-2.3048461560571663,-0.8617236945139968,0.2967938821022597,0.126556335039771,33262,0.200088835,327000,1.967944418874789,0.46410161513775455
Bristol North East,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362561137,163,167,156,115,232,58,197,350,1275,7.151485463904735,-1.4856762752766324,-0.09143705666077091,0.308660102782777,0.155964317681252,25646,0.169969887,306000,1.9851735252229965,0.46410161513775455
Bristol North West,135061.83000000002,0.0,0.0,0.0,0.0,6155.0,0.0,0.0,0.0,0.0,0.39301446,229,250,246,219,227,66,292,338,1638,7.40184157874383,-0.8002527572498942,0.21506864787374044,0.332130390517053,0.164551668969529,37904,0.169625518,385000,2.014719894857894,0.46410161513775455
Bristol South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32337429,64,97,120,27,81,16,269,274,884,6.785587645007929,-2.7478446430678263,-0.012550712770154508,0.29440822539418127,0.138717366954823,29506,0.125924825,314000,1.999765312226773,0.46410161513775455
Bromsgrove,13000.0,0.0,4342.08,0.0,0.0,3608.9500000000003,0.0,0.0,0.0,0.0,0.535121946,455,446,419,450,386,310,343,456,2810,7.941295570906532,2.057940327900442,1.0356178825683364,0.2685858747352003,0.229305727646988,29698,0.048408975,342000,2.0168617472434267,0.3709278651051621
Broxbourne,33023.520000000004,0.0,548.39,11751.0,0.0,4006.95,0.0,0.0,0.0,0.0,0.528608595,317,316,345,197,461,253,55,402,2029,7.615791072035833,1.1141259986887602,-0.37520633616169763,0.2950367816515788,0.178008444108482,24155,0.170070061,412250,2.013335170766439,0.43596412267394724
Broxtowe,13321.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.418103357,386,332,291,328,332,347,528,331,2489,7.820037989458753,0.5958632104892048,1.4563242549678195,0.2748984005265406,0.216425161148779,27340,0.106712689,247000,1.9721301174537194,0.3755754428976594
Burnley,39000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456090548,31,50,37,52,19,45,526,40,769,6.646390514847729,-3.7195608559189117,0.11934719113319629,0.3104016515156995,0.179620441128535,21320,0.142993129,120000,1.946261247285138,0.4533091270152128
Bury North,40500.0,0.0,0.0,0.0,0.0,13054.720000000001,0.0,0.0,0.0,0.0,0.520545953,191,177,129,270,168,132,446,216,1538,7.338888133838879,-1.552009025844742,0.38297365689279184,0.2887673089958359,0.195603757141473,25545,0.11911337,212750,1.9705181862325711,0.418285829057783
Bury South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420852423,168,149,121,265,161,96,433,223,1448,7.278628942320682,-1.7597842515513864,0.2936282666963832,0.3252691165553076,0.162518559762435,27705,0.144795838,250000,1.9637830632147617,0.3940629340906983
Calder Valley,23000.0,0.0,0.0,2197.4,0.0,0.0,0.0,0.0,0.0,0.0,0.446919139,262,281,247,408,236,167,469,32,1840,7.518064181233078,-0.45033526686989533,-0.4060422981888763,0.2592202638265985,0.215859967401318,29042,0.043846457,195000,1.9350085843608553,0.3088221573342634
Camborne and Redruth,29530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424905394,145,148,127,266,176,398,275,17,1407,7.249925536717988,-1.0096534617257362,-0.8830255462641233,0.2695154308057529,0.230035709298382,23824,0.049909182999999996,260000,1.971399798590131,0.21279029624178217
