constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Kingston upon Hull East,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38377656,18,20,24,6,53,61,298,110,572,6.35088571671474,-3.505634231803533,-0.5393466080487546,0.3074342015942892,0.173587540487596,15218,0.066332271,131500,1.9539355952218738,0.46410161513775455
Kingston upon Hull West and Haltemprice,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444408453,94,101,89,100,153,125,387,116,1071,6.977281341630747,-2.456592112787926,-0.16017214978548466,0.2727469997735668,0.194184466752207,22000,0.11819192,155000,1.9057198051402655,0.43039379310257786
Knowsley,9650.0,0.0,2279.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.670270617,5,4,2,8,4,175,344,135,672,6.511745329644728,-3.507553488573885,-0.05546885194373408,0.2982213562943871,0.168667378962143,16955,0.051817504,165000,1.9548766215980677,0.45873435175907384
Leeds East,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452119769,32,61,60,25,76,11,461,57,751,6.62273632394984,-3.5128927143269473,-0.13666125499997617,0.3301931188343145,0.15769338027678,22883,0.178364296,217500,1.9706686996297103,0.46410161513775455
Leeds North East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362861302,260,246,225,436,231,112,470,119,1839,7.517520850603031,-0.6041244929726389,-0.16028427764600484,0.2912161115414405,0.168644461657629,37056,0.20718675799999997,325000,1.9435215449487262,0.4638884788237341
Leeds North West,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486302847,438,464,432,479,315,289,493,174,2646,7.881182202227102,1.5019607131804398,0.46850533749421774,0.2694717994628463,0.220456580125335,32493,0.06982886799999999,296750,1.9834076583871048,0.3943341309533294
Leicester East,8901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148976792,127,64,147,39,150,232,406,206,1244,7.126890808898808,-2.2293713777507898,0.4840884508208971,0.3350094029898311,0.140208140757976,22462,0.504681055,257000,2.0915672355636103,0.46410161513775455
Leicester South,63485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219087221,112,87,196,57,101,145,404,141,1131,7.0317412587631285,-2.386819615090379,0.0981750236828894,0.40862041686443895,0.105473531689525,29593,0.400094638,242000,1.9709817982619953,0.46410161513775455
Leicester West,7500.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.372156593,38,38,103,30,62,12,436,144,825,6.716594773520978,-3.3572868754284126,0.10300686897295604,0.36128148959474204,0.112588014395243,25845,0.328142603,210000,1.983937518420277,0.4633045222990567
Lewes,57060.0,0.0,0.0,1609.6599999999999,0.0,2118.5,0.0,0.0,0.0,0.0,0.4370051,385,359,320,294,394,435,164,389,2355,7.764720544771477,1.5350039186464008,0.2645460835178814,0.2407678168602222,0.286584092238282,27764,0.080871022,377250,1.9626499143346658,0.22805399688388356
Leyton and Wanstead,10000.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.387590089,234,225,341,422,349,160,28,63,1588,7.370860166536716,0.5409014017745553,-2.3657889915944352,0.2876333874365437,0.110888558897675,44704,0.409714043,550000,2.0175459314604955,0.46410161513775455
Lichfield,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549698545,440,401,356,378,366,458,382,443,2784,7.932003152361385,1.7832159364516047,1.4238038132281525,0.25053004974312904,0.242793362146293,27311,0.043383092,293725,2.002755189897637,0.40008422655507125
Lincoln,52600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431852843,170,175,159,131,130,288,272,406,1561,7.3537223303996315,-1.1770079873013652,0.8464327231788217,0.344897731466778,0.157458350142051,26439,0.14064017099999998,185000,1.943815331010453,0.4496057621476985
Liverpool Garston,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623469778,70,78,48,138,32,245,479,85,1105,7.00850518208228,-2.7497956198579936,0.29287536348570375,0.2813150097711651,0.205194477715438,26278,0.079972985,225000,1.9407630227439472,0.46410161513775455
Liverpool Riverside,8000.0,0.0,0.0,0.0,0.0,1396.0,0.0,0.0,0.0,0.0,0.470599727,1,5,14,12,2,23,372,22,450,6.111467339502679,-3.98327841596149,-0.6342136725640658,0.413352950211393,0.100183504037897,31990,0.243466141,140000,1.7790871469323797,0.46410161513775455
Liverpool Walton,9360.0,0.0,0.0,0.0,0.0,4261.0,0.0,0.0,0.0,0.0,0.671192797,3,6,3,33,3,62,499,18,624,6.437751649736401,-4.004784509523708,-0.06963381464589505,0.3057646077613696,0.16304763773733,18689,0.094022595,140000,1.945066629521289,0.46410161513775455
Liverpool Wavertree,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49441822,39,68,80,195,15,76,453,3,890,6.792344427470809,-3.0497000776000727,-0.4792452164922893,0.365553953011727,0.143156716134664,32096,0.178665372,180000,1.883445821005917,0.46410161513775455
Liverpool West Derby,17450.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.658242289,10,13,6,70,6,55,501,16,667,6.504288173536645,-3.8885628815692415,-0.12025137806891284,0.29157048556271,0.176861863686064,20783,0.09926738,160000,1.9268386362558678,0.46410161513775455
Loughborough,48948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411748938,384,363,388,292,342,305,391,344,2425,7.793999089503996,0.9795832048723995,0.9042955947005491,0.358257946512432,0.173928518463591,28091,0.15213707,250000,1.9845673052492503,0.3782435370068557
Louth and Horncastle,5000.0,0.0,0.0,0.0,0.0,545.44,0.0,0.0,0.0,0.0,0.539478315,161,185,119,176,144,505,162,195,1486,7.304515946460155,-0.6833011268663575,-0.29101144707421955,0.22235580596847643,0.307634311098432,19610,0.03793485,220000,1.9804668585263352,0.2322313950296558
Luton North,5000.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.387654961,201,174,223,198,189,164,81,316,1345,7.204892510204673,-0.8187108378133111,-0.6779540395114189,0.347335640138408,0.143832179930795,26525,0.332453702,317500,2.0547959591918383,0.46410161513775455
Macclesfield,16000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527272918,415,415,342,453,330,395,351,353,2639,7.878534196140362,1.6620746251355907,0.764723229646896,0.2433541017653158,0.241651090342679,32372,0.066842133,295000,1.9491552994213743,0.38085353434636077
Maidenhead,7000.0,0.0,0.0,1514.1799999999998,0.0,1552.86,0.0,0.0,0.0,0.0,0.489914015,521,517,522,493,511,485,276,453,3257,8.08886878916199,3.5620838614905765,0.8767769430671544,0.2769320677531549,0.184313466740816,37373,0.204490856,490000,2.0374499316432013,0.40598641190083823
Makerfield,59500.0,0.0,4340.33,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.652839846,221,217,152,202,121,184,509,479,1864,7.5310163320779155,-1.3461732731902791,2.0098684600434447,0.2741705384511571,0.209616163174027,20865,0.042352726,181995,2.000597914146831,0.3669665295349111
Maldon,5000.0,0.0,0.0,0.0,0.0,6160.0,0.0,0.0,0.0,0.0,0.502300552,413,412,397,296,462,402,123,409,2501,7.824845691026856,2.120028148150259,0.11170480203766923,0.25447196252445897,0.246190184412863,21978,0.050888968,385000,2.0281134873929476,0.2214778252749144
Manchester Central,0.0,0.0,0.0,0.0,0.0,5374.0,0.0,0.0,0.0,0.0,0.392778958,16,48,131,85,11,2,119,45,441,6.091309882077698,-3.0257227063286276,-1.7433410007942214,0.365191676472409,0.0848609648851179,40914,0.320516554,232000,1.8935452406908027,0.46410161513775455
Manchester Withington,2000.0,0.0,0.0,0.0,0.0,2918.0,0.0,0.0,0.0,0.0,0.313753062,182,253,332,475,67,13,246,99,1485,7.303843225277705,-0.6537721102833395,-1.3083396149103572,0.341890944393505,0.112938892184887,41938,0.206279468,330000,1.937958448166207,0.46410161513775455
Mansfield,35921.2,0.0,2230.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466641982,121,146,83,48,71,192,384,445,1369,7.222566018822171,-2.2047305381075883,1.501321562123089,0.2687700210398619,0.198589760600489,18864,0.10740350900000001,180000,1.9750114277007467,0.3989311730445161
Mid Bedfordshire,6400.0,0.0,1407.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486192947,507,507,513,442,483,416,278,352,2991,8.003697339094368,3.009218761532339,0.4292423336687996,0.2909359567601189,0.178364505968814,29423,0.09857722099999999,370000,2.0650289594567606,0.25039737101454457
Mid Derbyshire,0.0,0.0,1569.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49764762,482,469,447,415,310,517,426,408,2992,8.0040315078527,2.253013215935995,1.5809728308705489,0.2512413785267071,0.242912495596941,26329,0.048993552999999995,255000,1.9908708957933503,0.34023325433677093
Mid Dorset and North Poole,22625.0,0.0,0.0,24085.0,0.0,1552.86,0.0,0.0,0.0,0.0,0.496489827,466,465,436,369,416,487,217,467,2857,7.957877358489813,2.6195898317384807,0.8699002715397331,0.2510546769467358,0.267451526424073,24870,0.062764692,370000,2.025129623228483,0.36527934513466925
Mid Leicestershire,0.0,0.0,0.0,1006.75,0.0,2635.0,0.0,0.0,0.0,0.0,0.431102846,483,473,470,363,445,294,448,423,2916,7.978310969867722,2.0458977502759295,1.4069010104028794,0.2705875459020226,0.214753105711383,27279,0.115026616,275000,2.035955163595516,0.29168857568882656
Mid Norfolk,0.0,0.0,0.0,27000.0,0.0,4900.0,0.0,0.0,0.0,0.0,0.502999491,311,376,321,163,300,495,79,234,1968,7.585281078639126,1.0368933743727606,-0.45195643024542875,0.24537440865290788,0.263527866429956,19744,0.076100311,270000,2.022228223509771,0.20884936836728293
Mid Sussex,42230.0,0.0,0.0,475.0,0.0,1867.2,0.0,0.0,0.0,0.0,0.477301599,520,511,500,467,522,484,306,477,3267,8.091933455979893,3.430669178992014,1.1328101012533167,0.2776611453195784,0.20259560234247,31985,0.12048534999999999,420000,2.012025920039125,0.4433058877519453
Middlesbrough South and East Cleveland,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539557835,128,111,62,179,73,250,398,516,1589,7.371489295214277,-1.817761007085325,1.7581931701451219,0.2669137495179737,0.232925575217447,20855,0.032182545,177000,1.9551242349613516,0.34500220979670576
Milton Keynes Central,2000.0,0.0,0.0,1024.93,0.0,0.0,0.0,0.0,0.0,0.0,0.429155043,293,277,318,313,282,272,39,503,2004,7.60339933974067,0.8665423437462726,-0.03329995100754952,0.3220072616918655,0.109560195399896,38035,0.323060361,352000,2.026339624188029,0.40906779709120794
Milton Keynes North,25500.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423595912,353,330,376,327,341,342,75,428,2219,7.705262474866325,1.463021251385528,-0.12531356822792328,0.2919225037257821,0.178648782911078,27961,0.185180871,340000,2.020016233366948,0.40906779709120794
Mitcham and Morden,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.476341688,277,212,306,385,346,193,160,109,1711,7.445417556701687,0.27150192076725266,-1.50633294155717,0.30107144013206777,0.121831806558119,39722,0.42656299200000003,455000,2.065390536108694,0.46410161513775455
Morecambe and Lunesdale,15000.0,0.0,2240.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572374578,204,233,154,256,147,348,439,117,1694,7.43543801981455,-0.9813153777351425,0.2990014620738138,0.25181150266293373,0.268769390910652,26073,0.052590381,225000,1.9488233283973115,0.36033133420106733
New Forest East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493869457,403,424,404,317,424,302,167,382,2420,7.791935956938058,1.8009917893474516,0.059913543013089855,0.2457048820625334,0.2613165112452,22425,0.061265529,345000,2.015277063842911,0.2981929567665103
New Forest West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540397148,437,431,381,423,442,345,191,438,2651,7.883069351305753,2.2253216121305255,0.3351242180157765,0.2111402019058393,0.338286630814227,23955,0.076934083,418250,1.963778875753421,0.2366785510872614
Newark,799026.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530606029,343,367,307,280,357,410,211,273,2205,7.698936199813447,1.137042802853931,-0.013144390336602264,0.25730034228369353,0.240167504500051,28511,0.077102335,256250,1.989940646295889,0.33160170905004505
Newbury,36000.0,0.0,0.0,965.66,0.0,1552.86,0.0,0.0,0.0,0.0,0.48437372,478,459,466,362,470,453,309,384,2903,7.973844375944687,2.560803436490826,0.8238268963777322,0.2753232703632257,0.19307430880867,28575,0.125805468,365000,2.00062770668094,0.39012492797415854
Newcastle upon Tyne Central and West,35302.5,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.414397601,35,30,52,43,22,36,357,472,1012,6.920671504248683,-3.1247322476846793,1.2237645953758054,0.37362498419522,0.137921801670472,29412,0.225036541,157500,1.9097082083446957,0.46368763267644203
Newcastle upon Tyne North,0.0,0.0,1000.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.424993676,354,326,322,412,172,301,464,491,2488,7.819636302367592,0.5519836409077492,1.7997361706529382,0.342984184265276,0.171910960543516,39398,0.11999874,235000,1.9611843412598529,0.4337012885265426
Newcastle-under-Lyme,58100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509547901,279,285,220,222,162,303,515,317,2024,7.613324979540639,-0.6521452760144248,1.4959709967427952,0.30237302468157,0.204460652185402,22137,0.079522475,175000,1.9477900828095378,0.43476656521658685
Newton Abbot,0.0,0.0,6986.07,3628.68,0.0,1029.62,0.0,0.0,0.0,0.0,0.469819506,327,293,249,308,305,427,363,239,2184,7.68937110752969,0.4972091438794061,0.4674564896590043,0.2331501363326509,0.272761162235855,23987,0.051169574999999995,285000,1.9633439429012347,0.29381125818696124
North Bedfordshire,7000.0,0.0,4750.0,45000.0,0.0,1065.0,0.0,0.0,0.0,0.0,0.478568756,443,447,452,405,431,420,155,308,2618,7.870547844507712,2.491142294020406,-0.25172443744309014,0.277714765004718,0.193505342318213,30142,0.098082331,362500,2.0480908200848527,0.22916445086338502
North Cornwall,46795.0,0.0,0.0,7720.87,0.0,0.0,0.0,0.0,0.0,0.0,0.480536507,196,232,201,217,280,511,56,25,1522,7.328437352895162,0.16805922912047191,-1.5933652015003743,0.2462082506862211,0.266414217306806,23046,0.051734633,305000,1.9859557204126579,0.23224352655352024
North Cotswolds,0.0,0.0,27111.05,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537613327,456,471,476,446,457,507,105,219,2681,7.894318063841624,2.99350685445018,-0.7844804957516635,0.2520588704107108,0.246033685776526,30318,0.0849972,385000,2.001775766016713,0.25088639120692147
North Devon,21000.0,0.0,3329.02,2815.0699999999997,0.0,1310.75,0.0,0.0,0.0,0.0,0.466783625,251,287,253,251,223,475,97,126,1712,7.44600149832412,0.38746846923810213,-0.9909329895891079,0.2474702751106905,0.260186060395005,23458,0.054875195,285000,1.9703551090328255,0.3122845123742117
North Dorset,4232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526810155,404,438,427,319,444,513,60,303,2504,7.826044013518965,2.5230545988666293,-0.4657343779172903,0.2448784731431472,0.275337103088299,24133,0.071303036,335000,2.0067941081175382,0.20815823883789822
North Durham,19500.0,0.0,1084.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534347689,156,126,87,186,92,189,489,526,1695,7.4360278163518485,-1.8602030553504676,2.1002230069403938,0.2608904933814678,0.223617433160675,20695,0.030526551,135000,1.9253481387093838,0.2879347790967338
North East Cambridgeshire,37698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520735123,155,183,165,38,128,265,181,371,1331,7.194436851100335,-1.3808755789154705,0.3898106152224482,0.2597078662590378,0.233105255495705,16152,0.124631985,230000,1.9939069482566976,0.281354325005941
North East Derbyshire,35000.0,0.0,423.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507956426,298,259,189,199,194,508,481,468,2298,7.740229524763182,-0.0953489062789874,2.2682388281538346,0.2483388526866786,0.246992842645016,21307,0.031650884000000004,235000,1.9614073772259906,0.2307045533936108
North East Hampshire,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502208883,532,533,533,528,531,465,239,501,3330,8.11102783819368,3.839243252014307,0.8524445232425243,0.274920603898959,0.202140030292666,35264,0.111203506,461247.5,2.0538444677171874,0.3295924896056015
North East Hertfordshire,0.0,0.0,56.23,1051.75,0.0,0.0,0.0,0.0,0.0,0.0,0.466498682,444,418,428,384,486,376,213,416,2721,7.909122183211411,2.382080270372792,0.37215370632532496,0.2733274690433143,0.208456177320663,31142,0.093756593,407200,2.0054471826911953,0.3116421599928882
North Herefordshire,75441.4,0.0,974.67,0.0,0.0,706.6,0.0,0.0,0.0,0.0,0.560874607,299,356,355,351,368,479,48,33,1990,7.596392304064196,1.5632106995305017,-1.7779493756229734,0.2249622381296372,0.294509752413476,26693,0.067409468,318000,1.9909577394348585,0.2466983346546127
North Norfolk,38150.69,0.0,702.0,12469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523272928,242,306,234,214,263,522,44,102,1685,7.430114138561801,0.553741018847608,-1.2200629751162684,0.19955888434498842,0.346999494554978,20192,0.04415989,315000,1.9243808502340092,0.23766068427082546
North Shropshire,26450.0,0.0,0.0,0.0,0.0,324.91,0.0,0.0,0.0,0.0,0.570718128,303,315,283,244,340,438,156,157,1933,7.56734567601324,0.7674585553573281,-0.7028804451105158,0.250801462730757,0.251174008097959,25214,0.061449432,245000,1.9939909818717219,0.2139432537700612
North Somerset,6000.0,0.0,1143.94,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.48177158,518,509,487,476,446,421,320,509,3168,8.06117135969092,3.0504673383814067,1.2876200296239488,0.2540545677239513,0.257570638172065,30690,0.072013442,385000,1.9933269593782943,0.28155072649574314
North West Cambridgeshire,0.0,0.0,1132.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49152943,270,276,286,207,240,218,128,369,1724,7.45298232946546,-0.011735437069544682,-0.13458456197900143,0.3045494756551081,0.156470355833068,26970,0.18963112599999998,260000,2.02342908438061,0.3495750086674153
North West Hampshire,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477045908,435,453,454,331,434,361,180,455,2668,7.889459149404524,2.312572654414335,0.5039702166808337,0.2818104883841549,0.17525229086475,29534,0.12819483,332500,2.0307165555207445,0.3411254720832322
North West Leicestershire,26519.0,0.0,907.22,1449.42,0.0,1028.26,0.0,0.0,0.0,0.0,0.489647606,383,362,323,226,301,354,431,474,2471,7.812782818577581,0.6957775838580734,1.8282653215895073,0.2734711877695012,0.201029008232065,24361,0.062716077,260000,2.0078690824079484,0.326638699669784
North West Norfolk,5500.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.532841901,167,218,173,59,129,454,143,220,1396,7.242082359256962,-0.852924201456856,-0.16362575324431633,0.2446396779936522,0.266787290037928,20245,0.115665583,263000,1.9733485343447852,0.3597021149709166
Northampton North,37636.6,0.0,6477.81,0.0,0.0,1133.0,0.0,0.0,0.0,0.0,0.480661131,133,180,198,98,119,52,176,175,998,6.906754778648554,-1.8762931363464503,-0.8457220329765616,0.31386754312872167,0.140781717742184,28476,0.305557349,230000,1.9624531477090184,0.46410161513775455
Northampton South,28891.059999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493382253,295,324,325,245,214,205,149,478,1940,7.57095858316901,0.3359995462631334,0.41730255290465734,0.3137497978763534,0.154179916994556,27545,0.222515423,280000,2.046818844099077,0.46410161513775455
Norwich North,48733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410376169,238,223,193,101,212,344,454,340,1867,7.532623618788788,-0.9032501501279753,1.4467810834035986,0.2645369273103413,0.202834073151625,21806,0.110921403,250000,1.9399269875608436,0.46410161513775455
Norwich South,67043.09,0.0,2400.0,0.0,0.0,1209.47,0.0,0.0,0.0,0.0,0.337343673,188,170,203,136,115,238,473,302,1637,7.401231264413015,-1.5440718271871536,1.191164955959846,0.34683477655863504,0.163954155266597,32545,0.176819386,242500,1.8449574314879917,0.46410161513775455
Nottingham East,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322071296,49,74,114,68,55,67,177,51,606,6.408528791059498,-2.814466949464456,-1.3574273880388716,0.41851663969208597,0.0916894138866745,34343,0.307930178,180000,1.8768413315131787,0.46369020700934394
Nottingham South,2000.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.344031748,107,132,179,72,60,234,166,149,992,6.900730664045173,-1.8967894650026174,-0.7226088771854534,0.461875954999955,0.123035269097765,25228,0.216493614,210000,1.9615611492499363,0.42167149569646006
Nuneaton,18000.0,0.0,0.0,357.9,0.0,0.0,0.0,0.0,0.0,0.0,0.481494884,186,195,162,103,170,158,371,299,1458,7.285506548522785,-1.6028197832583093,0.66245995587973,0.28801656167043044,0.179137446016086,20484,0.114904882,222000,1.9993268243775513,0.4555778975756837
Old Bexley and Sidcup,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.490711247,446,441,455,357,456,371,235,264,2579,7.855544677915663,2.1741027416119794,-0.12609509536195365,0.2890841220907894,0.191074647152101,25367,0.160813706,445750,2.0377499118698696,0.4637860426411503
Oldham East and Saddleworth,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472013774,75,85,94,63,107,35,512,152,1048,6.955592608396297,-3.0422358592847085,0.4750043321452341,0.3307301906634353,0.169786475241186,22564,0.147881215,195000,1.9928918144578884,0.3520040261031797
Orpington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495892252,351,314,334,380,465,273,95,368,2229,7.709756864454165,1.5422931287115809,-0.5458978444086059,0.2922610138774344,0.195862223444006,29179,0.181076149,485000,2.032951187200652,0.4564679350697427
Oxford East,0.0,0.0,2604.4300000000003,0.0,0.0,755.0,0.0,0.0,0.0,0.0,0.401724901,291,278,363,248,278,251,199,205,1822,7.508238774678663,0.27584666099180377,-0.5808629627533224,0.345080875035841,0.117627215841049,44122,0.344709289,425000,2.013672391017173,0.46410161513775455
Oxford West and Abingdon,29079.61,0.0,0.0,17637.0,0.0,716.9100000000001,0.0,0.0,0.0,0.0,0.416993685,490,524,528,473,490,474,238,222,2949,7.989560449333865,3.2555362029379538,-0.25604321659690366,0.350449834764128,0.173296385406817,44640,0.25994329,440000,1.979321367745316,0.39304417052246654
Penistone and Stocksbridge,52300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523494984,328,348,270,310,193,248,437,440,2246,7.717351272185329,0.09810737415505971,1.533230623623027,0.2445647341276897,0.250800284545616,22445,0.032844902,210000,1.9955959472531948,0.26211418025008487
Peterborough,72025.0,0.0,2645.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447476999,76,96,122,26,124,57,90,292,807,6.694562058521095,-2.3038405550236516,-0.6855426667429488,0.3305486322656081,0.146681436351887,23490,0.320518987,220000,2.001704008841555,0.4484978563810359
Plymouth Moor View,107992.18,0.0,0.0,0.0,0.0,1389.95,0.0,0.0,0.0,0.0,0.441600652,110,122,81,73,68,277,295,294,1210,7.099201743553092,-2.0811786265161243,0.5284738670669337,0.291635274991078,0.2023970022602,18481,0.063234821,205000,1.9947462547903845,0.46410161513775455
Plymouth Sutton and Devonport,8584.0,0.0,0.0,0.0,0.0,440.9,0.0,0.0,0.0,0.0,0.373877901,73,110,92,172,39,107,414,43,977,6.885509670034818,-2.716756994401347,-0.384714881833612,0.332403358884761,0.143219114176469,28115,0.144500572,195000,1.8594344015918038,0.46410161513775455
Poole,16000.0,0.0,0.0,678.72,0.0,0.0,0.0,0.0,0.0,0.0,0.476773975,346,312,311,269,303,343,284,392,2214,7.703007682479236,0.6784612715929973,0.7225865733564135,0.25092300118964517,0.233150100504574,26056,0.121251946,337000,1.9452991452991453,0.46410161513775455
Poplar and Limehouse,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252763109,165,100,266,329,245,187,51,129,1307,7.176254532017144,-0.5062712844587794,-1.8620546284497366,0.32463025583222205,0.0481196843938928,60924,0.500761009,495000,1.9469334710081714,0.46410161513775455
Portsmouth North,12000.0,0.0,2742.18,0.0,0.0,1780.0,0.0,0.0,0.0,0.0,0.420914393,164,238,276,127,207,129,285,15,1277,7.15305163493748,-1.2327884833039318,-1.0159394619186508,0.298297454610358,0.168777082568989,21308,0.116403149,268000,2.0178818677272057,0.46410161513775455
Portsmouth South,0.0,0.0,0.0,0.0,0.0,1780.0,0.0,0.0,0.0,0.0,0.368888477,118,171,256,154,152,22,267,14,1036,6.9440872082295275,-1.8257555907959606,-1.2990901351968223,0.361640219018136,0.132712348123564,29882,0.21868871299999998,240000,1.8917413417292324,0.46410161513775455
Preston,4430.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.440888427,58,81,99,96,33,41,500,46,896,6.799055862058796,-3.254839960993182,-0.021113191452599753,0.353326248671625,0.130575982996811,26642,0.216283834,140000,1.9178927079987151,0.4625121495741822
Putney,5150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437377603,352,307,423,507,373,261,89,127,2087,7.643961949002529,1.5781845349755348,-1.747769278641356,0.27542849993744434,0.108934603492341,55964,0.3980906,595000,1.9797462345172845,0.46410161513775455
Rayleigh and Wickford,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485912063,496,479,477,274,484,439,334,519,3006,8.008698182988528,2.5430822024633475,1.609950647101736,0.26379871792246,0.229739693202531,18218,0.046651093000000005,385000,2.0336363408709586,0.3996566241375404
Redcar,49000.0,0.0,2950.35,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.51909739,74,63,19,120,38,169,484,513,1406,7.249215057114389,-2.64736380013153,2.0680270736848416,0.2698109991263761,0.228665487630777,18528,0.032423653,160000,1.9173020388809863,0.42951451445498773
Redditch,20500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500900737,230,255,237,161,182,284,57,480,1656,7.4127640174265625,-0.16037323400197837,0.21307057501615087,0.27853208788104983,0.19954808642847,21769,0.10579063899999999,255000,2.017618310268073,0.449221990170761
Reigate,5000.0,0.0,0.0,1180.0,0.0,551.0,0.0,0.0,0.0,0.0,0.497660366,488,497,496,477,458,346,231,370,2875,7.964155718840937,2.848479177879212,0.17619086064492182,0.2848325315421619,0.186439139511663,36797,0.166923558,505000,2.0247161267850924,0.3587027047468379
Ribble Valley,5000.0,0.0,677.86,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.637014986,442,489,426,505,293,463,358,183,2717,7.907651594711089,2.14396389390415,0.16717466688468757,0.2603524705373551,0.225262681960703,30661,0.06683296899999999,235000,2.0132272215164084,0.3287122444960951
